timestamp,eventtext,operator
2015-05-31 16:04:37.105610,1,C
2015-05-31 16:04:37.619263,+,C
2015-05-31 16:04:38.208513,1,C
2015-05-31 16:04:38.649730,+,C
2015-05-31 16:04:39.273509,1,C
2015-05-31 16:04:39.737661,+,C
2015-05-31 16:04:40.281618,1,C
2015-05-31 16:04:40.865494,+,C
2015-05-31 16:04:41.385499,1,C
2015-05-31 16:04:41.833760,+,C
2015-05-31 16:04:42.441485,1,C
2015-05-31 16:04:42.945565,+,C
2015-05-31 16:04:43.513663,1,C
2015-05-31 16:04:43.930703,+,C
2015-05-31 16:04:44.442661,1,C
2015-05-31 16:04:45.579343,1,C
2015-05-31 16:04:45.995171,+,C
2015-05-31 16:04:46.554500,1,C
2015-05-31 16:04:46.986700,+,C
2015-05-31 16:04:47.474868,1,C
