timestamp,eventtext,operator
2015-05-31 13:16:45.313399,1,K
2015-05-31 13:16:45.528317,+,K
2015-05-31 13:16:45.713345,2,K
2015-05-31 13:16:45.918318,+,K
2015-05-31 13:16:46.259304,3,K
2015-05-31 13:16:46.479850,+,K
2015-05-31 13:16:46.749465,4,K
2015-05-31 13:16:46.984107,+,K
2015-05-31 13:16:47.213554,5,K
2015-05-31 13:16:47.463472,+,K
2015-05-31 13:16:47.689011,6,K
2015-05-31 13:16:47.943710,+,K
2015-05-31 13:16:48.164370,7,K
2015-05-31 13:16:48.359406,+,K
2015-05-31 13:16:48.614191,8,K
2015-05-31 13:16:48.834352,+,K
2015-05-31 13:16:49.099366,9,K
2015-05-31 13:16:49.343909,+,K
2015-05-31 13:16:49.854661,1,K
2015-05-31 13:16:50.016965,0,K
2015-05-31 13:16:50.494816,+,K
2015-05-31 13:16:50.730462,1,K
2015-05-31 13:16:50.894886,1,K
2015-05-31 13:16:51.149925,+,K
2015-05-31 13:16:51.384126,1,K
2015-05-31 13:16:51.584148,2,K
2015-05-31 13:16:51.829194,+,K
2015-05-31 13:16:52.045157,1,K
2015-05-31 13:16:52.244667,3,K
2015-05-31 13:16:52.474724,+,K
2015-05-31 13:16:52.694319,1,K
2015-05-31 13:16:52.952340,4,K
2015-05-31 13:16:53.339898,+,K
2015-05-31 13:16:53.561482,1,K
2015-05-31 13:16:53.854372,5,K
2015-05-31 13:16:54.110299,+,K
2015-05-31 13:16:54.320265,1,K
2015-05-31 13:16:54.665216,6,K
2015-05-31 13:16:54.895272,+,K
2015-05-31 13:16:55.119858,1,K
2015-05-31 13:16:55.510379,7,K
2015-05-31 13:16:55.740473,+,K
2015-05-31 13:16:55.944736,1,K
2015-05-31 13:16:56.445198,8,K
2015-05-31 13:16:56.740412,+,K
2015-05-31 13:16:57.021379,1,K
2015-05-31 13:16:57.545469,9,K
2015-05-31 13:16:57.940510,+,K
2015-05-31 13:16:58.335507,2,K
2015-05-31 13:16:58.620387,0,K
2015-05-31 13:16:59.410417,+,K
