timestamp,eventtext,operator
2015-05-31 15:04:01.576395,1,C
2015-05-31 15:04:02.455699,+,C
2015-05-31 15:04:03.176315,2,C
2015-05-31 15:04:04.010456,+,C
2015-05-31 15:04:04.659660,3,C
2015-05-31 15:04:05.116591,+,C
2015-05-31 15:04:06.213514,4,C
2015-05-31 15:04:06.919781,+,C
2015-05-31 15:04:07.614843,5,C
2015-05-31 15:04:08.183776,+,C
2015-05-31 15:04:08.942642,6,C
2015-05-31 15:04:09.427770,+,C
2015-05-31 15:04:10.147169,7,C
2015-05-31 15:04:10.808497,+,C
2015-05-31 15:04:11.502637,8,C
2015-05-31 15:04:12.051497,+,C
2015-05-31 15:04:12.726959,9,C
2015-05-31 15:04:13.266588,+,C
2015-05-31 15:04:14.292687,1,C
2015-05-31 15:04:15.208686,0,C
2015-05-31 15:04:15.960916,+,C
2015-05-31 15:04:16.785769,1,C
2015-05-31 15:04:17.082794,1,C
2015-05-31 15:04:17.792716,+,C
2015-05-31 15:04:18.525657,1,C
2015-05-31 15:04:18.971826,2,C
2015-05-31 15:04:19.603932,+,C
2015-05-31 15:04:20.449960,1,C
2015-05-31 15:04:20.944746,3,C
2015-05-31 15:04:21.408845,+,C
2015-05-31 15:04:22.124579,1,C
2015-05-31 15:04:22.664650,4,C
2015-05-31 15:04:23.460685,+,C
2015-05-31 15:04:24.744300,1,C
2015-05-31 15:04:25.254609,5,C
2015-05-31 15:04:25.934499,+,C
2015-05-31 15:04:26.774611,1,C
2015-05-31 15:04:27.369817,6,C
2015-05-31 15:04:27.893791,+,C
2015-05-31 15:04:28.859578,1,C
2015-05-31 15:04:29.525700,7,C
2015-05-31 15:04:30.092735,+,C
2015-05-31 15:04:30.865630,1,C
2015-05-31 15:04:31.496700,8,C
2015-05-31 15:04:32.047695,+,C
2015-05-31 15:04:32.642656,1,C
2015-05-31 15:04:33.340554,9,C
2015-05-31 15:04:33.993779,+,C
2015-05-31 15:04:34.795716,2,C
2015-05-31 15:04:35.666518,0,C
2015-05-31 15:04:36.388218,+,C
