timestamp,eventtext,operator
2015-05-31 15:25:07.973444,3,K
2015-05-31 15:25:08.428685,ENT,K
2015-05-31 15:25:09.133685,3,K
2015-05-31 15:25:09.817388,,K
2015-05-31 15:25:09.977669,*,K
2015-05-31 15:25:11.530515,+,K
2015-05-31 15:25:12.303346,4,K
2015-05-31 15:25:13.194287,ENT,K
2015-05-31 15:25:14.619281,4,K
2015-05-31 15:25:15.137039,,K
2015-05-31 15:25:15.503390,*,K
2015-05-31 15:25:16.747121,+,K
2015-05-31 15:25:17.839081,s,K
2015-05-31 15:25:18.059669,q,K
2015-05-31 15:25:18.323343,r,K
2015-05-31 15:25:18.517333,t,K
