timestamp,eventtext,operator
2015-05-31 14:06:25.853763,3,C
2015-05-31 14:06:26.333744,ENT,C
2015-05-31 14:06:26.797075,3,C
2015-05-31 14:06:27.364954,*,C
2015-05-31 14:06:27.821654,+,C
2015-05-31 14:06:28.406743,4,C
2015-05-31 14:06:29.085791,ENT,C
2015-05-31 14:06:29.773589,4,C
2015-05-31 14:06:30.453712,*,C
2015-05-31 14:06:31.790440,+,C
2015-05-31 14:06:33.710635,sqRT,C
2015-05-31 14:06:40.687356,<-,C
2015-05-31 14:06:40.847483,<-,C
2015-05-31 14:06:40.975397,<-,C
2015-05-31 14:06:41.103464,<-,C
2015-05-31 14:06:41.223262,<-,C
2015-05-31 14:06:41.359571,<-,C
