timestamp,eventtext,operator
2015-05-31 13:16:19.931540,1,K
2015-05-31 13:16:20.105875,+,K
2015-05-31 13:16:20.262101,2,K
2015-05-31 13:16:20.425978,+,K
2015-05-31 13:16:20.600897,3,K
2015-05-31 13:16:20.766543,+,K
2015-05-31 13:16:20.964739,4,K
2015-05-31 13:16:21.130537,+,K
2015-05-31 13:16:21.320954,5,K
2015-05-31 13:16:21.495481,+,K
2015-05-31 13:16:21.690443,6,K
2015-05-31 13:16:21.869055,+,K
2015-05-31 13:16:22.060981,7,K
2015-05-31 13:16:22.230505,+,K
2015-05-31 13:16:22.485548,8,K
2015-05-31 13:16:22.730739,+,K
2015-05-31 13:16:23.021165,9,K
2015-05-31 13:16:23.341440,+,K
2015-05-31 13:16:24.351229,1,K
2015-05-31 13:16:24.515867,0,K
2015-05-31 13:16:24.936651,+,K
2015-05-31 13:16:25.331829,1,K
2015-05-31 13:16:25.556398,1,K
2015-05-31 13:16:25.851447,+,K
2015-05-31 13:16:26.301712,1,K
2015-05-31 13:16:26.506833,2,K
2015-05-31 13:16:26.861960,+,K
2015-05-31 13:16:27.196608,1,K
2015-05-31 13:16:27.476792,3,K
2015-05-31 13:16:27.701878,+,K
2015-05-31 13:16:27.901638,1,K
2015-05-31 13:16:28.141734,4,K
2015-05-31 13:16:28.386072,+,K
2015-05-31 13:16:28.576616,1,K
2015-05-31 13:16:28.891593,5,K
2015-05-31 13:16:29.111663,+,K
2015-05-31 13:16:29.281700,1,K
2015-05-31 13:16:29.591619,6,K
2015-05-31 13:16:29.826983,+,K
2015-05-31 13:16:30.016546,1,K
2015-05-31 13:16:30.411271,7,K
2015-05-31 13:16:30.691943,+,K
2015-05-31 13:16:30.856758,1,K
2015-05-31 13:16:31.352100,8,K
2015-05-31 13:16:31.626902,+,K
2015-05-31 13:16:31.842082,1,K
2015-05-31 13:16:32.367061,9,K
2015-05-31 13:16:32.972289,+,K
2015-05-31 13:16:33.382287,2,K
2015-05-31 13:16:33.892056,0,K
2015-05-31 13:16:34.533354,,K
