timestamp,eventtext,operator
2015-05-31 13:15:07.639242,1,K
2015-05-31 13:15:07.852379,+,K
2015-05-31 13:15:08.132017,2,K
2015-05-31 13:15:08.357097,+,K
2015-05-31 13:15:08.596897,3,K
2015-05-31 13:15:08.793264,+,K
2015-05-31 13:15:08.811952,+,K
2015-05-31 13:15:09.061864,4,K
2015-05-31 13:15:09.547849,5,K
2015-05-31 13:15:09.812735,+,K
2015-05-31 13:15:10.057933,6,K
2015-05-31 13:15:10.327952,+,K
2015-05-31 13:15:10.617739,7,K
2015-05-31 13:15:10.983115,+,K
2015-05-31 13:15:11.282902,8,K
2015-05-31 13:15:11.523019,+,K
2015-05-31 13:15:11.812759,9,K
2015-05-31 13:15:12.127953,+,K
2015-05-31 13:15:13.533325,1,K
2015-05-31 13:15:13.993357,0,K
2015-05-31 13:15:14.338079,+,K
2015-05-31 13:15:14.642563,1,K
2015-05-31 13:15:14.808070,1,K
2015-05-31 13:15:15.024850,+,K
2015-05-31 13:15:15.288007,1,K
2015-05-31 13:15:15.477636,2,K
2015-05-31 13:15:15.722691,+,K
2015-05-31 13:15:15.998405,1,K
2015-05-31 13:15:16.202931,3,K
2015-05-31 13:15:16.398432,+,K
2015-05-31 13:15:16.628214,1,K
2015-05-31 13:15:16.892718,4,K
2015-05-31 13:15:17.262819,+,K
2015-05-31 13:15:17.513527,1,K
2015-05-31 13:15:17.861127,5,K
2015-05-31 13:15:18.123551,+,K
2015-05-31 13:15:18.327995,1,K
2015-05-31 13:15:18.638044,6,K
2015-05-31 13:15:18.928674,+,K
2015-05-31 13:15:19.148763,1,K
2015-05-31 13:15:19.578894,7,K
2015-05-31 13:15:19.848575,+,K
2015-05-31 13:15:20.183267,1,K
2015-05-31 13:15:20.604025,8,K
2015-05-31 13:15:20.989135,+,K
2015-05-31 13:15:21.213408,1,K
2015-05-31 13:15:21.649300,9,K
2015-05-31 13:15:22.033544,+,K
2015-05-31 13:15:22.308511,2,K
2015-05-31 13:15:22.798822,0,K
