timestamp,eventtext,operator
2015-05-31 15:02:59.636322,1,C
2015-05-31 15:03:00.484456,+,C
2015-05-31 15:03:01.199140,2,C
2015-05-31 15:03:01.958374,+,C
2015-05-31 15:03:02.594435,3,C
2015-05-31 15:03:03.169613,+,C
2015-05-31 15:03:03.902455,4,C
2015-05-31 15:03:04.501398,+,C
2015-05-31 15:03:05.120544,5,C
2015-05-31 15:03:05.662310,+,C
2015-05-31 15:03:06.207319,6,C
2015-05-31 15:03:06.708453,+,C
2015-05-31 15:03:07.384592,7,C
2015-05-31 15:03:08.026545,+,C
2015-05-31 15:03:08.763612,8,C
2015-05-31 15:03:09.453447,+,C
2015-05-31 15:03:09.998346,9,C
2015-05-31 15:03:10.560696,+,C
2015-05-31 15:03:11.223265,1,C
2015-05-31 15:03:11.615387,0,C
2015-05-31 15:03:12.455409,+,C
2015-05-31 15:03:13.526436,1,C
2015-05-31 15:03:13.697388,1,C
2015-05-31 15:03:14.399490,+,C
2015-05-31 15:03:15.058499,1,C
2015-05-31 15:03:15.713347,2,C
2015-05-31 15:03:16.416261,+,C
2015-05-31 15:03:17.212399,1,C
2015-05-31 15:03:17.723304,3,C
2015-05-31 15:03:18.390508,+,C
2015-05-31 15:03:20.374537,1,C
2015-05-31 15:03:21.403432,4,C
2015-05-31 15:03:22.159483,+,C
2015-05-31 15:03:23.117526,1,C
2015-05-31 15:03:23.678386,5,C
2015-05-31 15:03:24.386477,+,C
2015-05-31 15:03:25.585322,1,C
2015-05-31 15:03:26.298437,6,C
2015-05-31 15:03:26.885522,+,C
2015-05-31 15:03:27.499400,1,C
2015-05-31 15:03:28.328485,7,C
2015-05-31 15:03:28.992507,+,C
2015-05-31 15:03:29.750507,1,C
2015-05-31 15:03:30.335174,8,C
2015-05-31 15:03:31.041475,+,C
2015-05-31 15:03:31.927447,1,C
2015-05-31 15:03:32.507522,9,C
2015-05-31 15:03:33.268598,+,C
2015-05-31 15:03:34.322462,2,C
2015-05-31 15:03:35.092369,0,C
2015-05-31 15:03:35.964557,+,C
