timestamp,eventtext,operator
2015-05-31 13:08:40.385116,1,C
2015-05-31 13:08:41.058048,+,C
2015-05-31 13:08:41.778073,2,C
2015-05-31 13:08:42.370103,+,C
2015-05-31 13:08:42.793356,3,C
2015-05-31 13:08:43.290276,+,C
2015-05-31 13:08:44.121690,4,C
2015-05-31 13:08:44.714719,+,C
2015-05-31 13:08:45.114742,5,C
2015-05-31 13:08:45.650646,+,C
2015-05-31 13:08:46.026718,6,C
2015-05-31 13:08:46.394625,+,C
2015-05-31 13:08:47.082970,7,C
2015-05-31 13:08:47.603568,+,C
2015-05-31 13:08:48.059957,8,C
2015-05-31 13:08:48.506103,+,C
2015-05-31 13:08:48.898791,9,C
2015-05-31 13:08:49.259719,+,C
2015-05-31 13:08:49.787704,1,C
2015-05-31 13:08:50.122719,0,C
2015-05-31 13:08:50.659119,+,C
2015-05-31 13:08:51.427716,1,C
2015-05-31 13:08:51.579653,1,C
2015-05-31 13:08:52.091917,+,C
2015-05-31 13:08:52.771621,1,C
2015-05-31 13:08:53.099105,2,C
2015-05-31 13:08:53.603650,+,C
2015-05-31 13:08:54.203490,1,C
2015-05-31 13:08:54.692810,3,C
2015-05-31 13:08:55.332871,+,C
2015-05-31 13:08:55.995712,1,C
2015-05-31 13:08:56.292678,4,C
2015-05-31 13:08:56.804662,+,C
2015-05-31 13:08:57.308633,1,C
2015-05-31 13:08:57.916229,5,C
2015-05-31 13:08:58.308446,+,C
2015-05-31 13:08:58.788936,1,C
2015-05-31 13:08:59.396542,6,C
2015-05-31 13:08:59.748466,+,C
2015-05-31 13:09:00.388038,1,C
2015-05-31 13:09:00.812757,7,C
2015-05-31 13:09:01.356588,+,C
2015-05-31 13:09:01.956688,1,C
2015-05-31 13:09:02.412707,8,C
2015-05-31 13:09:02.948042,+,C
2015-05-31 13:09:03.580281,1,C
2015-05-31 13:09:04.148920,9,C
2015-05-31 13:09:04.524155,+,C
2015-05-31 13:09:05.101314,2,C
2015-05-31 13:09:05.517118,0,C
2015-05-31 13:09:06.429138,ENT,C
