timestamp,eventtext,operator
2015-05-30 13:44:42.321433,1,C
2015-05-30 13:44:43.240261,+,C
2015-05-30 13:44:44.406603,1,C
2015-05-30 13:44:45.298193,+,C
2015-05-30 13:44:46.118235,1,C
2015-05-30 13:44:47.175228,+,C
2015-05-30 13:44:48.201832,1,C
2015-05-30 13:44:49.295834,+,C
2015-05-30 13:44:50.430982,1,C
2015-05-30 13:44:51.346358,+,C
2015-05-30 13:44:52.207663,1,C
2015-05-30 13:44:53.161532,+,C
2015-05-30 13:44:54.097763,1,C
2015-05-30 13:44:54.958099,+,C
2015-05-30 13:44:55.808060,1,C
2015-05-30 13:44:56.772991,+,C
2015-05-30 13:44:57.471077,1,C
2015-05-30 13:44:58.326941,+,C
2015-05-30 13:44:59.078474,1,C
2015-05-30 13:44:59.961989,+,C
