timestamp,eventtext,operator
2015-05-31 14:28:02.826183,3,K
2015-05-31 14:28:03.141182,ENT,K
2015-05-31 14:28:03.396231,3,K
2015-05-31 14:28:03.885189,,K
2015-05-31 14:28:03.952006,*,K
2015-05-31 14:28:04.782636,+,K
2015-05-31 14:28:05.172740,4,K
2015-05-31 14:28:05.743114,ENT,K
2015-05-31 14:28:06.128263,4,K
2015-05-31 14:28:06.748503,,K
2015-05-31 14:28:06.873491,*,K
2015-05-31 14:28:07.458829,+,K
2015-05-31 14:28:08.409525,s,K
2015-05-31 14:28:08.654384,q,K
2015-05-31 14:28:09.113989,r,K
2015-05-31 14:28:09.179093,t,K
