timestamp,eventtext,operator
2015-05-31 14:26:41.393500,3,K
2015-05-31 14:26:42.013069,ENT,K
2015-05-31 14:26:42.592616,3,K
2015-05-31 14:26:42.867701,,K
2015-05-31 14:26:43.007770,*,K
2015-05-31 14:26:43.858999,+,K
2015-05-31 14:26:44.494393,4,K
2015-05-31 14:26:45.244731,ENT,K
2015-05-31 14:26:45.945059,4,K
2015-05-31 14:26:46.336083,,K
2015-05-31 14:26:46.479840,*,K
2015-05-31 14:26:47.551331,+,K
2015-05-31 14:26:48.471404,s,K
2015-05-31 14:26:48.696469,q,K
2015-05-31 14:26:49.136919,r,K
2015-05-31 14:26:49.211873,t,K
